country,new,all,cure,death
中国,66,93907,87720,4752
美国,218576,14535196,8561427,282829
印度,36595,9571559,9016289,139188
巴西,50434,6487084,5792539,175270
俄罗斯,27829,2354934,1843526,41173
法国,34594,2310271,172574,54231
西班牙,6104,1693591,196958,46038
英国,14948,1678419,3623,60210
意大利,23219,1664829,846809,58038
阿根廷,7629,1447732,1274675,39305
哥伦比亚,9233,1343322,1233115,37305
墨西哥,11030,1144643,843231,108173
德国,17586,1135740,815995,18097
波兰,14863,1028610,646560,18828
伊朗,13922,1003494,699315,49348
秘鲁,3470,967075,901544,36076
乌克兰,15131,808503,414134,13629
南非,4400,800872,739367,21803
土耳其,32381,733261,418331,14316
比利时,2605,584857,33687,17033
伊拉克,4000,558767,487863,12361
印度尼西亚,8369,557877,462553,17355
智利,1508,555406,530470,15519
荷兰,116,546982,7129,9645
捷克,4621,537663,468302,8641
罗马尼亚,7661,492211,381001,11876
孟加拉,2316,471739,388379,6748
菲律宾,1056,435413,399325,8446
巴基斯坦,3262,410072,350305,8260
加拿大,5748,399770,319250,12423
摩洛哥,4434,368624,318987,6063
沙特阿拉伯,230,358102,347881,5930
以色列,618,341042,326644,2891
瑞士,4455,340115,257600,5181
葡萄牙,3772,307618,229018,4724
奥地利,3969,293430,238127,3538
瑞典,6485,272643,4917,7007
尼泊尔,1343,237589,220272,1551
匈牙利,6635,231844,67033,5324
约旦,4029,231237,173369,2909
塞尔维亚,7802,199158,15913,1765
厄瓜多尔,1008,195884,169804,13612
哈萨克斯坦,1044,177386,149435,2438
阿联酋,1317,172751,157035,585
巴拿马,1880,171219,148396,3141
日本,637,156565,129085,2174
保加利亚,3280,155193,57141,4503
格鲁吉亚,4260,147636,126904,1425
多米尼加,812,146009,115992,2335
玻利维亚,192,145186,124015,8982
科威特,314,143574,138674,884
哥斯达黎加,1165,142505,91424,1757
白俄罗斯,1701,141609,118924,1181
卡塔尔,221,139477,136741,239
克罗地亚,4534,139415,113509,1964
亚美尼亚,1277,138508,114990,2277
阿塞拜疆,4189,133733,81234,1510
黎巴嫩,1520,132817,84142,1067
阿曼,184,124329,115866,1435
危地马拉,593,124053,112719,4209
埃及,432,117156,103082,6713
摩尔多瓦,1727,112307,97549,2363
埃塞俄比亚,595,111579,77385,1724
希腊,1882,111537,23074,2706
斯洛伐克,1982,111208,74273,930
洪都拉斯,616,109760,48953,2938
委内瑞拉,481,103548,98521,909
突尼斯,1208,99280,73607,3359
缅甸,1418,95018,73748,2028
巴勒斯坦,2516,92708,68250,780
波黑,1161,91539,56050,2812
巴林,162,87432,85598,341
肯尼亚,1253,86383,56464,1500
阿尔及利亚,843,85927,55538,2480
丹麦,2,85663,67934,858
巴拉圭,995,85477,60086,1796
利比亚,762,84849,55304,1212
斯洛文尼亚,11,81349,59469,1592
吉尔吉斯斯坦,440,74373,66113,1285
乌兹别克斯坦,161,73592,70861,611
爱尔兰,162,73228,23364,2080
马来西亚,1075,69095,57917,376
尼日利亚,343,68303,64291,1179
立陶宛,4551,67066,26836,564
北马其顿,1341,65231,41656,1847
新加坡,9,58239,58145,29
加纳,0,51667,50547,323
阿富汗,119,46837,37260,1846
阿尔巴尼亚,782,40501,20484,852
萨尔瓦多,0,39130,35839,1142
挪威,235,37371,17998,353
黑山,581,36932,25866,516
卢森堡,627,36429,27356,339
韩国,629,36332,28611,536
澳大利亚,10,27949,25629,908
芬兰,540,26422,18100,408
斯里兰卡,278,26038,19032,129
喀麦隆,0,24487,22177,441
乌干达,203,21612,9110,206
科特迪瓦,28,21389,21022,132
拉脱维亚,930,19307,1848,235
苏丹,281,18535,10672,1271
赞比亚,30,17730,17102,357
马达加斯加,172,17513,16657,255
塞内加尔,44,16217,15697,335
莫桑比克,52,15918,14030,132
安哥拉,42,15361,8244,352
纳米比亚,122,14599,13774,151
爱沙尼亚,450,13469,8182,123
几内亚,24,13167,12204,76
刚果（金）,145,13132,11753,337
马尔代夫,36,13106,12154,47
塔吉克斯坦,39,12308,11718,87
博茨瓦纳,789,11531,8978,34
塞浦路斯,348,11523,2057,54
佛得角,71,10938,10454,107
牙买加,47,10911,6614,259
津巴布韦,295,10424,8754,280
马耳他,96,10197,8015,148
海地,18,9331,8114,233
加蓬,25,9239,9089,60
毛里塔尼亚,142,9005,7785,181
古巴,75,8531,7770,136
叙利亚,88,8147,3748,432
巴哈马,6,7549,5934,163
伯利兹,1382,7236,3571,164
安道尔,62,6904,6066,77
特立尼达和多巴哥,21,6725,5861,121
斯威士兰,19,6474,6044,122
乌拉圭,230,6455,4707,80
马拉维,3,6043,5472,185
卢旺达,17,6011,5596,50
尼加拉瓜,0,5838,4225,161
刚果（布）,0,5774,4988,94
吉布提,7,5689,5591,61
圭亚那,79,5528,4618,151
冰岛,35,5448,5216,27
苏里南,2,5322,5203,117
赤道几内亚,3,5159,5023,85
中非共和国,0,4918,1924,63
马里,43,4880,3281,162
索马里,0,4525,3480,121
泰国,14,4053,3839,60
冈比亚,2,3767,3610,123
布基纳法索,52,3062,2679,68
贝宁,40,3055,2907,44
多哥,25,3039,2567,65
几内亚比绍,0,2441,2327,44
塞拉利昂,3,2416,1840,74
也门,22,2239,1525,624
莱索托,8,2145,1278,44
新西兰,9,2069,1983,25
圣马力诺,64,1714,1356,46
乍得,3,1708,1539,102
利比里亚,68,1663,1358,83
尼日尔,54,1640,1227,76
越南,3,1361,1209,35
列支敦士登公国,21,1339,1169,17
蒙古,12,831,365,0
