country,new,all,cure,death
喀麦隆,0,24752,23344,443
乌干达,311,22499,9175,206
拉脱维亚,207,21520,1866,272
科特迪瓦,44,21485,21109,132
苏丹,272,19468,11021,1295
赞比亚,59,17916,17173,364
马达加斯加,0,17513,16927,255
塞内加尔,76,16553,15806,340
莫桑比克,111,16244,14416,133
安哥拉,55,15591,8338,354
爱沙尼亚,248,15226,9009,133
纳米比亚,128,15078,13939,152
刚果（金）,114,13527,11947,344
几内亚,47,13233,12355,76
马尔代夫,39,13198,12321,47
塞浦路斯,270,12451,2057,61
塔吉克斯坦,39,12428,11833,87
博茨瓦纳,0,11531,8978,34
牙买加,57,11120,6998,265
佛得角,27,11063,10596,109
津巴布韦,101,10718,8880,291
马耳他,97,10520,8396,151
毛里塔尼亚,157,9516,7849,188
海地,23,9370,8146,233
加蓬,0,9254,9106,60
古巴,68,8782,7963,136
叙利亚,83,8403,3943,447
伯利兹,168,7769,3849,173
巴哈马,5,7570,5995,163
乌拉圭,338,7303,5062,82
安道尔,45,7050,6238,78
特立尼达和多巴哥,16,6767,5937,122
斯威士兰,6,6501,6090,122
卢旺达,45,6129,5696,51
马拉维,2,6051,5476,185
尼加拉瓜,0,5838,4225,161
刚果（布）,0,5774,4988,94
吉布提,11,5701,5593,61
圭亚那,28,5665,4759,153
冰岛,14,5496,5272,27
苏里南,2,5324,5210,117
赤道几内亚,0,5159,5023,85
马里,73,5135,3369,164
中非共和国,4,4922,1924,63
索马里,0,4525,3480,121
泰国,21,4107,3868,60
冈比亚,2,3770,3615,123
布基纳法索,56,3212,2711,68
多哥,10,3095,2653,65
贝宁,0,3055,2907,44
几内亚比绍,0,2441,2327,44
塞拉利昂,6,2426,1846,74
也门,70,2337,1549,639
莱索托,0,2150,1278,44
新西兰,1,2079,1998,25
尼日尔,67,1856,1237,77
圣马力诺,0,1789,1412,48
乍得,3,1725,1564,102
利比里亚,0,1676,1358,83
列支敦士登公国,18,1396,1183,17
越南,1,1366,1220,35
蒙古,38,887,384,0
钻石号邮轮,0,712,699,13
布隆迪,2,694,575,1
巴布亚新几内亚,0,671,597,7
摩纳哥,1,638,574,3
厄立特里亚,0,632,508,0
科摩罗,0,616,600,7
坦桑尼亚,0,509,183,21
毛里求斯,0,508,465,10
不丹,4,430,388,0
柬埔寨,2,348,306,0
巴巴多斯,1,285,260,7
圣卢西亚,3,265,158,2
塞舌尔,0,184,168,0
文莱,0,151,147,3
安提瓜和巴布达,2,146,134,4
圣文森特和格林纳丁斯,0,87,80,0
多米尼克,0,85,72,0
斐济,0,44,33,2
格林纳达,2,43,41,0
老挝,2,41,26,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,3,25,20,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
