country,new,all,cure,death
美国,184125,16005739,9313261,299316
印度,31521,9767371,9253306,141772
巴西,53347,6781799,6026470,179765
俄罗斯,27562,2546113,2015137,44769
法国,13732,2391643,180348,57044
英国,21050,1792605,3786,63179
意大利,16998,1787147,1027994,62626
西班牙,4595,1734386,196958,47344
阿根廷,6994,1482216,1318187,40431
哥伦比亚,7778,1399911,1296420,38484
德国,12163,1270432,932218,20737
墨西哥,11974,1205229,889168,111655
波兰,13750,1102096,792119,21630
伊朗,10403,1083023,778167,51496
秘鲁,0,976621,912501,36401
土耳其,30424,955766,452593,15751
乌克兰,13736,881727,483553,14981
南非,8166,836764,756671,22747
印度尼西亚,6033,598933,491975,18336
比利时,3071,597643,33687,17603
荷兰,15,595378,7560,9985
伊拉克,1380,571253,501967,12526
智利,1662,566440,540288,15774
捷克,6406,563333,493946,9226
罗马尼亚,7067,539107,434679,12948
孟加拉,1861,485965,410452,6967
菲律宾,1376,445540,409058,8701
加拿大,5343,445105,359302,13102
巴基斯坦,3138,429280,374301,8603
摩洛哥,3345,391529,345934,6492
瑞士,5041,368695,288400,5824
沙特阿拉伯,141,359415,349872,6012
以色列,818,352397,333391,2961
葡萄牙,3134,335207,259548,5278
奥地利,2686,313688,269665,4163
瑞典,7935,312728,4917,7354
匈牙利,5415,265003,77362,6451
约旦,2902,253121,206638,3250
塞尔维亚,7393,249224,15913,2172
尼泊尔,1217,245650,231601,1663
厄瓜多尔,1151,200379,174188,13850
巴拿马,1811,182977,156870,3264
哈萨克斯坦,936,182657,154432,2546
阿联酋,1255,181405,161741,602
格鲁吉亚,4570,178953,148332,1657
保加利亚,3075,174568,75232,5405
日本,2975,172376,142850,2392
克罗地亚,4620,163992,136721,2420
阿塞拜疆,4219,162774,99892,1793
白俄罗斯,1939,154392,132085,1238
多米尼加,1560,151721,118770,2358
哥斯达黎加,1127,149815,109855,1882
玻利维亚,214,146060,125490,9004
科威特,291,145495,141259,910
亚美尼亚,1174,145240,121882,2416
黎巴嫩,1778,142187,95737,1170
卡塔尔,163,140516,138033,240
危地马拉,659,127786,116442,4345
阿曼,179,125669,117327,1463
斯洛伐克,3125,124921,91455,1104
摩尔多瓦,1715,122685,105238,2500
希腊,1533,121253,23074,3370
埃及,421,119702,104281,6854
埃塞俄比亚,526,115360,88975,1779
洪都拉斯,617,112792,50888,2961
突尼斯,958,107814,82193,3758
委内瑞拉,468,105852,100952,933
巴勒斯坦,1887,104879,78715,910
缅甸,1321,104487,82813,2201
丹麦,3132,101027,76185,918
波黑,1286,98603,62592,3199
斯洛文尼亚,1847,91922,69170,1949
巴拉圭,812,90958,64527,1914
阿尔及利亚,565,90579,59135,2564
肯尼亚,644,90305,71254,1568
利比亚,661,89183,59222,1273
巴林,137,88632,86684,347
立陶宛,3327,83883,34975,735
马来西亚,2234,78499,66236,396
吉尔吉斯斯坦,379,76391,68894,1306
爱尔兰,303,75203,23364,2117
乌兹别克斯坦,146,74498,71740,611
尼日利亚,675,71344,65474,1190
北马其顿,929,70883,47364,2051
新加坡,6,58297,58188,29
加纳,116,52738,51518,326
阿富汗,202,48053,38099,1935
阿尔巴尼亚,873,46061,23609,965
萨尔瓦多,0,40741,37172,1180
韩国,666,40098,30637,564
卢森堡,1561,40037,30898,384
挪威,605,39768,17998,382
黑山,454,39607,29054,566
斯里兰卡,238,30613,22261,146
芬兰,840,29572,20000,442
澳大利亚,7,28000,25665,908
乌干达,671,25730,9605,220
喀麦隆,211,24963,23344,443
拉脱维亚,890,23706,1866,304
科特迪瓦,43,21590,21203,133
苏丹,384,20468,11673,1319
赞比亚,128,18091,17307,364
马达加斯加,0,17473,16927,255
塞内加尔,101,16766,15950,343
爱沙尼亚,544,16598,9945,141
莫桑比克,81,16521,14715,139
安哥拉,121,15925,8679,362
纳米比亚,475,15773,14218,158
刚果（金）,1,13997,12208,350
几内亚,42,13325,12548,79
马尔代夫,34,13308,12621,47
塞浦路斯,0,13286,2057,70
塔吉克斯坦,37,12588,12009,88
博茨瓦纳,0,12058,9400,36
牙买加,74,11443,7522,270
佛得角,74,11192,10760,109
津巴布韦,74,11081,9253,305
马耳他,106,10884,8848,164
毛里塔尼亚,229,10105,7925,202
海地,35,9434,8170,233
加蓬,22,9300,9155,62
古巴,75,9181,8212,136
叙利亚,112,8787,4174,476
伯利兹,506,8519,4075,183
乌拉圭,298,8104,5564,87
巴哈马,6,7585,6032,163
安道尔,28,7190,6505,78
特立尼达和多巴哥,25,6833,6060,122
斯威士兰,21,6633,6221,126
卢旺达,71,6349,5789,53
马拉维,0,6051,5487,186
刚果（布）,275,6049,4988,99
尼加拉瓜,0,5887,4225,162
圭亚那,79,5811,4925,154
吉布提,0,5717,5599,61
马里,107,5576,3502,184
冰岛,8,5524,5313,28
苏里南,7,5333,5217,117
赤道几内亚,17,5183,5048,85
中非共和国,0,4927,1924,63
索马里,0,4579,3529,121
泰国,18,4169,3888,60
冈比亚,0,3776,3631,123
布基纳法索,0,3469,2742,69
多哥,19,3151,2699,65
贝宁,0,3090,2972,44
几内亚比绍,0,2444,2337,44
塞拉利昂,1,2435,1847,74
莱索托,14,2178,1283,44
尼日尔,48,2126,1249,80
新西兰,0,2088,2008,25
也门,2,2081,1383,606
圣马力诺,34,1868,1524,49
乍得,7,1739,1587,102
利比里亚,0,1676,1358,83
列支敦士登公国,9,1441,1282,19
越南,4,1385,1225,35
蒙古,5,898,384,0
布隆迪,4,720,630,1
钻石号邮轮,0,712,699,13
巴布亚新几内亚,0,684,601,7
摩纳哥,2,657,591,3
厄立特里亚,7,656,525,0
科摩罗,0,617,605,7
毛里求斯,0,515,478,10
坦桑尼亚,0,509,183,21
不丹,0,433,395,0
柬埔寨,2,356,307,0
巴巴多斯,0,290,264,7
圣卢西亚,0,270,169,2
塞舌尔,0,184,168,0
文莱,0,152,147,3
安提瓜和巴布达,0,146,138,4
圣文森特和格林纳丁斯,1,91,80,0
多米尼克,0,85,76,0
斐济,0,44,35,2
格林纳达,0,43,41,0
老挝,0,41,33,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,1,26,23,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
