country,new,all,cure,death
美国,198647,16942822,9871663,308089
印度,27071,9884100,9388159,143355
巴西,21825,6901952,6138349,181402
俄罗斯,26902,2656601,2105414,46846
法国,3247,2433859,183340,58391
英国,20313,1874803,4048,64500
土耳其,29617,1866345,1631944,16646
意大利,12025,1855737,1115617,65011
西班牙,7967,1762036,196958,48013
阿根廷,5062,1503222,1340120,41041
哥伦比亚,8742,1434516,1321469,39195
德国,6331,1357141,996099,22330
墨西哥,8608,1250044,918681,113953
波兰,4896,1140572,869155,22960
伊朗,7501,1115770,823231,52447
秘鲁,4030,984973,918352,36677
乌克兰,6877,925321,526101,15792
南非,5163,866127,762746,23451
荷兰,44,632068,7944,10168
印度尼西亚,5489,623309,510957,18956
比利时,2171,608137,33687,17951
捷克,2000,581079,505922,9609
伊拉克,1338,575972,509474,12603
智利,1911,573830,546538,15931
罗马尼亚,3252,559587,460780,13494
孟加拉,1799,492332,423845,7089
加拿大,7617,472820,385020,13569
菲律宾,1333,450733,418723,8757
巴基斯坦,2362,440787,384719,8832
摩洛哥,1217,400826,359065,6659
瑞士,10726,384557,308300,6154
沙特阿拉伯,125,360013,350792,6059
以色列,1213,359506,338418,3004
葡萄牙,2194,350938,274277,5649
奥地利,2588,325051,284174,4530
瑞典,0,320098,4917,7514
匈牙利,3470,283870,82546,7130
塞尔维亚,4932,271364,15913,2380
约旦,2863,262477,222654,3407
尼泊尔,821,249244,236573,1716
厄瓜多尔,70,202180,177951,13875
巴拿马,1612,194619,163334,3382
格鲁吉亚,1337,191063,161681,1839
哈萨克斯坦,764,186277,157701,2552
阿联酋,2286,186041,164349,618
日本,1679,182278,150791,2528
保加利亚,2095,181544,85578,5838
阿塞拜疆,3112,178986,114841,1966
克罗地亚,1472,177358,151884,2705
白俄罗斯,1853,162148,139785,1273
多米尼加,492,155184,121007,2364
哥斯达黎加,2222,153169,118511,1936
亚美尼亚,357,148682,125966,2503
黎巴嫩,1093,147613,103057,1210
玻利维亚,120,147150,126221,9018
科威特,231,146449,142357,912
卡塔尔,160,141121,138719,241
斯洛伐克,505,133489,98585,1205
危地马拉,123,129405,118217,4445
摩尔多瓦,735,127253,110179,2598
阿曼,264,126504,118287,1472
希腊,639,125173,23074,3687
埃及,511,122086,105132,6943
埃塞俄比亚,473,117242,95225,1809
洪都拉斯,316,114359,51478,2975
丹麦,3337,113642,81088,950
突尼斯,968,111361,84741,3894
巴勒斯坦,1364,111102,87057,1000
缅甸,1170,109512,88131,2292
委内瑞拉,609,107786,102289,954
波黑,344,101461,66486,3391
斯洛文尼亚,431,96745,73760,2107
立陶宛,1920,95021,38957,825
巴拉圭,641,94223,67242,1971
阿尔及利亚,495,92597,60888,2609
肯尼亚,163,92055,73452,1593
利比亚,578,91357,61453,1314
巴林,125,89268,87332,348
马来西亚,1371,84846,70597,419
吉尔吉斯斯坦,318,77674,70450,1312
爱尔兰,264,76449,23364,2126
乌兹别克斯坦,138,75094,72368,612
北马其顿,213,73851,50046,2147
尼日利亚,199,73374,66314,1197
新加坡,5,58325,58210,29
加纳,81,53014,51761,327
阿尔巴尼亚,661,49191,24820,1016
阿富汗,191,48718,38252,1969
韩国,718,43484,32102,587
卢森堡,1145,41900,33367,410
萨尔瓦多,486,41880,38087,1205
黑山,377,41803,31138,585
挪威,331,41334,17998,393
斯里兰卡,332,33478,24309,154
芬兰,300,31110,20000,461
澳大利亚,6,28045,25686,908
乌干达,234,27766,9921,224
拉脱维亚,210,25885,16869,352
喀麦隆,71,25214,23851,443
科特迪瓦,25,21705,21318,133
苏丹,205,21591,12452,1355
爱沙尼亚,330,18385,11121,154
赞比亚,48,18322,17409,367
马达加斯加,0,17587,16992,259
塞内加尔,71,17146,16159,350
莫桑比克,48,17002,15006,143
纳米比亚,457,16726,14837,163
安哥拉,89,16277,8924,372
塞浦路斯,349,15450,2057,82
刚果（金）,51,14512,12653,356
几内亚,26,13457,12713,80
马尔代夫,11,13379,12731,48
博茨瓦纳,372,12873,10456,38
塔吉克斯坦,37,12741,12172,88
牙买加,82,11792,8098,273
佛得角,4,11361,11036,110
津巴布韦,112,11358,9554,309
马耳他,101,11254,9319,174
毛里塔尼亚,164,11135,8118,228
乌拉圭,321,10029,6593,95
海地,97,9588,8280,234
古巴,69,9492,8484,137
伯利兹,82,9377,4414,197
加蓬,21,9351,9204,63
叙利亚,136,9302,4432,530
巴哈马,15,7674,6070,163
安道尔,44,7382,6706,79
特立尼达和多巴哥,6,6885,6180,123
斯威士兰,57,6825,6416,130
卢旺达,88,6747,5996,56
刚果（布）,151,6200,4988,100
马拉维,4,6070,5491,187
圭亚那,23,5943,5077,156
尼加拉瓜,0,5887,4225,162
马里,22,5836,3630,201
吉布提,5,5733,5622,61
冰岛,7,5564,5392,28
苏里南,6,5359,5227,117
赤道几内亚,0,5185,5058,85
中非共和国,0,4936,1924,63
索马里,0,4579,3529,121
泰国,28,4237,3940,60
布基纳法索,179,4209,2940,71
冈比亚,3,3782,3647,123
多哥,15,3266,2789,66
贝宁,0,3090,2972,44
塞拉利昂,5,2445,1851,75
几内亚比绍,0,2444,2337,44
莱索托,27,2277,1340,44
尼日尔,59,2258,1294,82
新西兰,0,2096,2015,25
也门,1,2084,1384,606
圣马力诺,0,1932,1608,51
乍得,1,1771,1608,102
利比里亚,0,1676,1358,83
列支敦士登公国,52,1566,1351,20
越南,5,1402,1246,35
蒙古,5,912,384,0
布隆迪,1,729,640,1
巴布亚新几内亚,5,725,601,8
钻石号邮轮,0,712,699,13
厄立特里亚,0,711,564,0
摩纳哥,3,671,605,3
科摩罗,0,628,606,7
毛里求斯,8,523,489,10
坦桑尼亚,0,509,183,21
不丹,1,438,403,0
柬埔寨,0,359,309,0
巴巴多斯,4,296,272,7
圣卢西亚,1,275,240,4
塞舌尔,0,187,182,0
文莱,0,152,147,3
安提瓜和巴布达,0,148,138,5
圣文森特和格林纳丁斯,4,98,81,0
多米尼克,1,88,83,0
格林纳达,26,69,41,0
斐济,2,46,38,2
老挝,0,41,34,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
圣基茨和尼维斯,1,28,23,0
梵蒂冈,0,27,15,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
