country,new,all,cure,death
津巴布韦,95,10129,8643,277
马耳他,102,9975,7748,141
海地,2,9296,8023,233
加蓬,23,9214,9066,60
毛里塔尼亚,109,8710,7764,177
古巴,97,8381,7658,136
叙利亚,86,7973,3624,422
巴哈马,2,7543,5934,163
安道尔,45,6790,5940,76
特立尼达和多巴哥,16,6685,5807,120
斯威士兰,23,6442,6017,122
马拉维,3,6028,5465,185
乌拉圭,167,6024,4483,78
卢旺达,14,5948,5544,49
伯利兹,111,5854,3151,148
尼加拉瓜,54,5838,4225,161
刚果（布）,0,5774,4988,94
吉布提,1,5680,5587,61
圭亚那,17,5423,4436,151
冰岛,21,5413,5187,27
苏里南,7,5319,5197,117
赤道几内亚,3,5156,5009,85
中非共和国,5,4918,1924,63
马里,52,4762,3241,160
索马里,0,4451,3417,113
泰国,10,4008,3811,60
冈比亚,1,3743,3607,123
贝宁,0,3015,2839,43
多哥,23,2997,2515,64
布基纳法索,45,2931,2644,68
几内亚比绍,19,2441,2327,44
塞拉利昂,1,2413,1838,74
也门,6,2197,1514,619
莱索托,28,2137,1278,44
新西兰,1,2060,1963,25
乍得,12,1700,1532,102
圣马力诺,38,1650,1334,46
利比里亚,0,1595,1343,83
尼日尔,38,1586,1219,75
越南,5,1351,1195,35
列支敦士登公国,16,1286,1110,16
蒙古,10,801,358,0
钻石号邮轮,0,712,659,13
布隆迪,8,689,575,1
巴布亚新几内亚,10,656,597,7
摩纳哥,8,617,559,3
科摩罗,2,613,586,7
厄立特里亚,0,577,498,0
坦桑尼亚,0,509,183,21
毛里求斯,1,505,463,10
不丹,14,410,381,0
柬埔寨,3,326,304,0
巴巴多斯,2,278,255,7
圣卢西亚,2,259,138,2
塞舌尔,10,183,162,0
文莱,1,151,145,3
安提瓜和巴布达,1,142,130,4
多米尼克,0,85,63,0
圣文森特和格林纳丁斯,0,85,80,0
斐济,0,42,33,2
格林纳达,0,41,30,0
老挝,0,39,26,0
马提尼克岛,5,37,0,1
东帝汶,0,30,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,0,22,19,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,1,0
瓦努阿图,0,1,0,0
