country,new,all,cure,death
中国,28,94500,88067,4753
美国,208121,15591709,9087069,293398
印度,26567,9703770,9178946,140958
巴西,51088,6674999,5965492,178159
俄罗斯,25752,2492713,1963864,43674
法国,14137,2363196,177558,56453
意大利,14837,1757394,958629,61240
英国,12353,1754881,3761,62130
西班牙,6255,1715700,196958,46646
阿根廷,3610,1469919,1305587,40009
哥伦比亚,7510,1384610,1278326,38158
德国,9080,1218561,892115,19709
墨西哥,6399,1182249,881050,110874
波兰,8310,1076180,738845,20592
伊朗,11023,1062397,754224,50917
秘鲁,0,973912,909389,36274
土耳其,33198,893630,441515,15314
乌克兰,11156,855054,454226,14413
南非,4011,821889,753072,22432
比利时,859,592615,33687,17386
印度尼西亚,5292,586842,483497,18000
荷兰,90,579991,7402,9857
伊拉克,2123,568138,498064,12477
智利,3152,563534,537727,15680
捷克,4237,551070,484781,9036
罗马尼亚,7439,524675,416797,12660
孟加拉,2202,481945,401194,6906
菲律宾,1386,442785,408790,8670
加拿大,6114,432743,349629,12887
巴基斯坦,2885,423179,370474,8487
摩洛哥,2900,384088,337719,6370
沙特阿拉伯,193,359115,349414,5989
瑞士,4262,358568,279900,5593
以色列,788,348285,331055,2932
葡萄牙,2905,327976,252428,5122
奥地利,2377,308070,262314,4002
瑞典,18820,297732,4917,7200
匈牙利,2219,256367,75281,6120
约旦,3062,247131,197058,3162
尼泊尔,1382,243377,229054,1637
塞尔维亚,7818,234027,15913,2062
厄瓜多尔,508,198752,174188,13794
巴拿马,1936,181166,155870,3241
哈萨克斯坦,688,180777,152379,2544
阿联酋,1260,178837,160295,596
格鲁吉亚,4673,169649,141392,1576
保加利亚,3980,168165,69028,5156
日本,47,166592,138838,2334
克罗地亚,2613,154852,130869,2298
阿塞拜疆,4387,154152,93411,1713
白俄罗斯,1649,150602,127528,1222
多米尼加,492,149630,117804,2347
哥斯达黎加,1009,147430,105686,1846
玻利维亚,97,145657,125230,9002
科威特,301,144900,140638,900
亚美尼亚,584,142928,119147,2372
卡塔尔,295,140203,137708,239
黎巴嫩,1039,139135,93100,1136
危地马拉,799,126473,115406,4286
阿曼,210,125325,116720,1454
埃及,434,119281,103913,6813
斯洛伐克,1949,119232,87433,1046
摩尔多瓦,1709,119204,102565,2460
希腊,1324,118045,23074,3194
埃塞俄比亚,531,114266,84948,1766
洪都拉斯,684,111707,49781,2950
突尼斯,1116,105445,80082,3668
委内瑞拉,462,104904,100476,928
缅甸,1308,101739,80726,2151
巴勒斯坦,1351,101109,75257,867
波黑,1077,96021,60210,3081
丹麦,1,95332,73572,901
巴拉圭,698,89421,63243,1887
阿尔及利亚,591,89416,58146,2539
肯尼亚,521,89100,69839,1545
巴林,183,88294,86348,343
利比亚,889,87986,57837,1255
斯洛文尼亚,21,87936,65240,1862
立陶宛,1390,77426,32399,673
吉尔吉斯斯坦,295,75690,67873,1301
马来西亚,1012,75306,64056,388
爱尔兰,214,74682,23364,2097
乌兹别克斯坦,153,74206,71482,611
尼日利亚,550,70195,65110,1182
北马其顿,1120,69452,45621,1977
新加坡,12,58285,58176,29
加纳,226,52500,51319,326
阿富汗,200,47716,37920,1906
阿尔巴尼亚,753,44436,22527,936
萨尔瓦多,206,40551,36951,1168
挪威,243,39163,17998,361
黑山,591,39153,28052,549
韩国,594,38755,30177,556
卢森堡,1459,38476,29792,360
斯里兰卡,798,29378,21258,142
芬兰,361,28242,18100,424
澳大利亚,5,27992,25647,908
喀麦隆,0,24752,23344,443
乌干达,701,23200,9374,207
拉脱维亚,584,22104,1866,288
科特迪瓦,6,21513,21161,132
苏丹,279,19747,11184,1301
赞比亚,32,17963,17268,364
马达加斯加,0,17473,16927,255
塞内加尔,43,16596,15864,340
莫桑比克,47,16373,14437,136
安哥拉,81,15729,8470,355
爱沙尼亚,284,15510,9446,137
纳米比亚,79,15298,14004,153
刚果（金）,155,13750,12059,344
塞浦路斯,419,13286,2057,68
几内亚,31,13264,12465,79
马尔代夫,35,13248,12487,47
塔吉克斯坦,42,12511,11926,88
博茨瓦纳,527,12058,9400,36
牙买加,87,11271,7292,265
佛得角,20,11118,10712,109
津巴布韦,73,10912,9062,303
马耳他,40,10699,8641,157
毛里塔尼亚,197,9876,7904,197
海地,29,9399,8148,233
加蓬,24,9278,9132,60
古巴,76,8982,8047,136
叙利亚,90,8580,4059,458
伯利兹,60,8013,4012,179
乌拉圭,301,7806,5415,86
巴哈马,9,7579,6003,163
安道尔,43,7127,6367,78
特立尼达和多巴哥,7,6782,5996,122
斯威士兰,34,6563,6137,124
卢旺达,46,6237,5715,51
马拉维,0,6051,5482,186
尼加拉瓜,49,5887,4225,162
刚果（布）,0,5774,4988,94
吉布提,6,5714,5597,61
圭亚那,3,5700,4870,154
冰岛,10,5506,5292,28
马里,152,5442,3416,180
苏里南,1,5326,5217,117
赤道几内亚,0,5166,5036,85
中非共和国,5,4927,1924,63
索马里,54,4579,3529,121
泰国,19,4126,3874,60
冈比亚,4,3776,3631,123
布基纳法索,154,3469,2742,69
多哥,21,3132,2691,65
贝宁,0,3073,2922,44
几内亚比绍,3,2444,2337,44
塞拉利昂,2,2428,1846,74
莱索托,0,2150,1278,44
新西兰,6,2085,2008,25
也门,0,2078,1382,606
尼日尔,93,1987,1239,79
圣马力诺,0,1800,1438,48
乍得,1,1729,1573,102
利比里亚,0,1676,1358,83
列支敦士登公国,7,1404,1235,19
越南,10,1377,1224,35
