country,new,all,cure,death
美国,230982,17626770,10291057,317928
印度,22890,9979447,9520827,144789
巴西,69826,7110434,6301547,184827
俄罗斯,27787,2736727,2181696,48568
法国,18278,2483524,187199,59733
土耳其,27515,1955680,1721607,17364
英国,35500,1954268,4123,66150
意大利,18233,1906377,1203814,67220
西班牙,11081,1805633,196958,48777
阿根廷,7326,1524372,1352556,41534
哥伦比亚,12196,1468795,1343819,39787
德国,25826,1454009,1078944,25027
墨西哥,11799,1289298,953762,116487
波兰,11953,1171854,903349,24345
伊朗,7453,1138530,856513,53095
秘鲁,3327,989457,924120,36858
乌克兰,12474,957692,569200,16579
南非,9126,892813,780313,24011
荷兰,92,662943,8324,10408
印度尼西亚,7354,643508,526979,19390
比利时,3146,618204,0,18371
捷克,8256,602404,522649,10036
伊拉克,1533,580449,515321,12650
智利,2001,578732,551200,16007
罗马尼亚,5697,577446,477139,13969
孟加拉,1134,496975,431590,7192
加拿大,6815,492582,403667,13940
菲律宾,1459,454447,419902,8850
巴基斯坦,2972,451494,399852,9164
摩洛哥,2776,409746,369998,6804
瑞士,5058,399511,311500,6487
以色列,1363,367975,342985,3050
葡萄牙,4320,362616,287028,5902
沙特阿拉伯,181,360516,351365,6091
瑞典,8881,357466,4917,7893
奥地利,2485,332828,294315,4982
匈牙利,2982,291549,86954,7538
塞尔维亚,5129,287730,15913,2529
约旦,2221,269806,233390,3496
尼泊尔,776,251692,240363,1749
厄瓜多尔,788,204249,177951,13932
巴拿马,3348,203295,168238,3481
格鲁吉亚,2981,201368,169282,1953
阿塞拜疆,4124,191460,127064,2088
日本,37,190950,158131,2661
阿联酋,1321,189866,166541,629
哈萨克斯坦,714,189551,161561,2615
保加利亚,2042,188288,93728,6339
克罗地亚,3918,186963,161563,2955
白俄罗斯,1834,167731,145397,1299
多米尼加,720,157305,122205,2375
哥斯达黎加,1125,156388,124907,1980
黎巴嫩,2116,153049,106712,1248
亚美尼亚,1174,151392,129990,2581
玻利维亚,451,148665,127155,9031
科威特,221,147192,143113,913
斯洛伐克,3045,142133,102737,1378
卡塔尔,140,141557,139243,242
摩尔多瓦,3263,131919,114230,2674
危地马拉,607,131435,119748,4551
希腊,1153,128710,23074,3948
阿曼,184,127019,119009,1483
丹麦,4038,124366,86192,992
埃及,548,123701,105919,7015
埃塞俄比亚,475,118481,99751,1831
巴勒斯坦,2149,117755,92979,1078
突尼斯,1419,115966,87884,4032
洪都拉斯,157,115474,53499,3021
缅甸,2415,113082,91537,2377
委内瑞拉,364,109081,103741,975
波黑,855,104087,69495,3549
立陶宛,3159,103028,45113,933
斯洛文尼亚,1654,102043,79193,2233
巴拉圭,819,97028,69351,2032
阿尔及利亚,426,93933,62089,2640
肯尼亚,552,93405,74999,1618
利比亚,706,93283,63231,1337
巴林,143,89743,87846,349
马来西亚,1220,89133,74030,432
吉尔吉斯斯坦,264,78415,71656,1321
爱尔兰,481,77678,23364,2143
北马其顿,654,76251,52413,2225
尼日利亚,1145,76207,67110,1201
乌兹别克斯坦,142,75538,72810,612
新加坡,24,58377,58252,29
加纳,167,53553,52266,331
阿尔巴尼亚,787,51424,26898,1055
阿富汗,217,49378,38505,2025
韩国,1062,47515,33982,645
卢森堡,434,43279,34609,428
黑山,432,42995,33049,614
挪威,257,42776,17998,404
萨尔瓦多,0,42397,38481,1227
斯里兰卡,338,35387,26353,160
芬兰,358,32228,22500,484
乌干达,628,29361,10172,228
拉脱维亚,1040,28535,19072,394
澳大利亚,21,28093,25699,908
喀麦隆,113,25472,23851,445
苏丹,401,22265,12873,1408
科特迪瓦,31,21772,21401,133
爱沙尼亚,733,20004,12533,164
赞比亚,76,18504,17680,369
纳米比亚,331,17607,15373,164
马达加斯加,0,17587,16992,259
塞内加尔,115,17451,16384,355
莫桑比克,113,17256,15257,145
安哥拉,77,16484,9266,382
塞浦路斯,401,16190,2057,85
刚果（金）,492,15089,13010,366
几内亚,11,13485,12773,80
马尔代夫,16,13418,12828,48
博茨瓦纳,141,13014,10535,38
塔吉克斯坦,37,12852,12295,89
牙买加,61,11968,8525,279
津巴布韦,117,11866,9836,314
毛里塔尼亚,176,11805,8372,254
佛得角,44,11502,11137,110
马耳他,60,11475,9670,182
乌拉圭,543,11436,7406,105
伯利兹,119,9791,4779,213
古巴,100,9771,8770,137
叙利亚,156,9759,4616,571
海地,30,9627,8310,234
加蓬,22,9373,9223,63
巴哈马,11,7725,6098,164
安道尔,20,7466,6875,79
斯威士兰,67,7093,6579,135
卢旺达,78,7032,6089,57
特立尼达和多巴哥,23,6940,6385,123
刚果（布）,0,6200,4988,100
马拉维,47,6138,5661,187
马里,80,6049,3718,211
圭亚那,26,6042,5197,158
尼加拉瓜,51,5938,4225,163
吉布提,11,5770,5635,61
冰岛,10,5588,5423,28
苏里南,27,5428,5240,117
赤道几内亚,19,5214,5064,85
中非共和国,0,4936,1924,63
索马里,83,4662,3566,124
布基纳法索,162,4611,3311,73
泰国,16,4297,4005,60
冈比亚,1,3786,3654,123
多哥,15,3330,2890,66
贝宁,62,3152,2972,44
尼日尔,145,2506,1373,84
塞拉利昂,4,2464,1854,75
几内亚比绍,0,2447,2378,44
莱索托,93,2400,1435,46
新西兰,10,2110,2034,25
也门,2,2087,1384,606
圣马力诺,67,2049,1703,54
乍得,18,1818,1626,102
利比里亚,6,1779,1406,83
列支敦士登公国,35,1635,1395,21
越南,2,1407,1263,35
蒙古,18,941,473,0
巴布亚新几内亚,31,760,601,8
布隆迪,10,751,640,1
厄立特里亚,30,741,572,0
钻石号邮轮,0,712,699,13
摩纳哥,15,700,611,3
科摩罗,10,643,610,7
毛里求斯,0,524,489,10
坦桑尼亚,0,509,183,21
不丹,1,440,409,0
柬埔寨,0,362,341,0
巴巴多斯,4,305,278,7
圣卢西亚,1,279,246,5
塞舌尔,0,202,184,0
文莱,0,152,148,3
安提瓜和巴布达,3,151,141,5
圣文森特和格林纳丁斯,2,100,82,0
多米尼克,0,88,83,0
格林纳达,0,85,41,0
斐济,0,46,38,2
老挝,0,41,36,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
圣基茨和尼维斯,0,28,24,0
梵蒂冈,0,27,15,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
