country,new,all,cure,death
亚美尼亚,280,229370,219379,4597
卡塔尔,225,225747,223376,601
波黑,43,205566,189259,9686
肯尼亚,1982,199941,187824,3895
赞比亚,476,193432,183957,3338
韩国,1896,193427,170494,2083
尼日利亚,535,172263,164886,2139
阿尔及利亚,1927,167131,112900,4161
蒙古,1243,160344,158505,796
吉尔吉斯斯坦,996,160085,140039,2288
北马其顿,47,156171,150321,5491
阿富汗,544,145552,82586,6577
拉脱维亚,78,138650,135463,2554
挪威,364,136541,17998,799
阿尔巴尼亚,30,132952,130174,2457
爱沙尼亚,174,132891,128613,1271
乌兹别克斯坦,843,126627,121145,853
纳米比亚,277,117570,93931,2927
越南,8010,117121,22946,524
莫桑比克,2460,115886,86423,1367
芬兰,644,104495,46000,982
津巴布韦,1856,103567,71383,3340
加纳,916,103019,97213,823
博茨瓦纳,0,102124,87517,1485
黑山,289,101496,98893,1627
塞浦路斯,769,100129,39061,412
乌干达,327,93122,79804,2605
萨尔瓦多,280,86059,76056,2587
喀麦隆,0,82064,35261,1334
马尔代夫,141,77094,74335,220
柬埔寨,766,75152,67692,1339
卢森堡,107,73744,71631,822
卢旺达,915,67902,44791,776
新加坡,136,64589,62663,37
塞内加尔,763,59286,46038,1307
牙买加,181,52322,46911,1182
马拉维,629,50381,37196,1561
科特迪瓦,76,49775,49040,326
刚果（金）,467,48970,29497,1023
马达加斯加,8,42615,41091,942
安哥拉,178,42288,35964,1000
特立尼达和多巴哥,243,38014,31106,1056
苏丹,0,37138,30647,2776
马耳他,91,33995,30982,423
佛得角,56,33682,32879,298
澳大利亚,12,33486,24022,921
斐济,1772,26196,6706,218
叙利亚,19,25930,21969,1911
加蓬,0,25344,25113,163
几内亚,85,25211,23966,206
苏里南,125,25028,21285,638
毛里塔尼亚,341,24349,21668,542
斯威士兰,539,24247,20362,770
圭亚那,53,22234,20773,530
海地,82,20000,12961,537
塞舌尔,0,18062,17324,90
巴布亚新几内亚,15,17670,17261,192
多哥,101,15393,14272,150
索马里,72,15323,7430,804
塔吉克斯坦,88,14761,14245,119
安道尔,9,14586,14113,127
马里,5,14551,13930,531
巴哈马,205,14457,12501,286
伯利兹,0,13983,13255,333
布基纳法索,6,13556,13359,169
刚果（布）,0,13156,11759,177
莱索托,7,12887,6649,363
吉布提,7,11647,11480,155
东帝汶,33,10387,9707,26
尼加拉瓜,362,9470,4225,195
赤道几内亚,17,8880,8637,123
贝宁,0,8324,8125,107
冈比亚,376,7709,6600,212
冰岛,156,7545,6668,30
中非共和国,0,7148,6859,98
也门,5,7027,4168,1374
布隆迪,0,6573,773,8
厄立特里亚,22,6539,6378,34
塞拉利昂,3,6250,4241,119
尼日尔,4,5604,5304,195
圣卢西亚,0,5529,5343,88
老挝,280,5434,2503,6
利比里亚,0,5396,2715,148
圣马力诺,0,5130,5005,90
乍得,1,4972,4789,174
巴巴多斯,6,4359,4158,48
几内亚比绍,69,4281,3830,74
科摩罗,0,4024,3864,147
毛里求斯,128,3913,1854,19
列支敦士登公国,3,3083,3003,59
新西兰,1,2865,2795,26
摩纳哥,19,2833,2674,33
不丹,1,2501,2331,2
圣文森特和格林纳丁斯,1,2280,2202,12
安提瓜和巴布达,0,1288,1229,43
钻石号邮轮,0,712,699,13
圣基茨和尼维斯,5,578,531,3
坦桑尼亚,0,509,183,21
文莱,0,333,270,3
多米尼克,1,210,200,0
格林纳达,0,164,161,1
马提尼克岛,5,37,0,1
梵蒂冈,0,27,27,0
所罗门群岛,0,20,20,0
瓦努阿图,0,4,3,1
马绍尔群岛,0,4,4,0
